Number,Name,HexColor
70.885,Pastel Green,#939870
70.886,Green Grey,#65624f
70.887,US Olive Drab,#57513b
70.888,Olive Grey,#40422d
70.889,Olive Brown,#3f3126
70.890,Reflective Green,#474a35
70.891,Intermediate Green,#4f6541
70.892,Yellow Olive,#383b32
70.893,US Dark Green,#494b36
70.894,Camouflage Olive Green,#3c3d2f
70.895,Gunship Green,#4c5840
70.896,Extra Dark Green,#282a14
70.897,Bronze Green,#313a29
70.897,Bronze Green,#313a29
70.898,Dark Sea Blue,#262c38
70.899,Dark Prussian Blue,#372741
70.901,Pastel Blue,#607a93
70.902,Azure,#5b6b9c
70.905,Blue Grey Pale,#808686
70.906,Pale Blue,#90a3a9
70.907,Pale Grey Blue,#a7b6b3
70.908,Carmine Red,#97211f
70.909,Vermillion,#c42a28
70.911,Light Orange,#ed7326
70.913,Yellow Ochre,#deaa45
70.914,Green Ochre,#a08035
70.915,Deep Yellow,#ffe209
70.916,Sand Yellow,#eabf56
70.917,Beige,#dfbe6f
70.918,Ivory,#ebe2d1
70.919,Cold White,#f6f6f8
70.920,German Uniform,#414f42
70.921,English Uniform,#4b5230
70.922,Uniform Green,#4b5230
70.923,Japan Uniform WWII,#9e802a
70.924,Russian Uniform WWII,#575336
70.925,Blue,#372c4c
70.926,Red,#792825
70.927,Dark Flesh,#d3933b
70.928,Light Flesh,#f3d4b8
70.929,Light Brown,#a05b31
70.930,Dark Blue,#273461
70.939,Smoke Ink,#3f3e39
70.940,Saddle Brown,#8b635b
70.941,Burnt Umber,#513b2e
70.943,Grey Blue,#596d85
70.944,Old Rose,#bc6d70
70.945,Magenta,#903153
70.946,Dark Red,#692f24
70.946,Dark Red,#692f24
70.947,Dark Vermilion,#b52927
70.948,Golden Yellow,#f7a832
70.949,Light Yellow,#f7d245
70.950,Black,#221c1c
70.951,White,#ffffff
70.952,Lemon Yellow,#e4d202
70.953,Flat Yellow,#f6ba35
70.954,Yellow Green,#dede26
70.955,Flat Flesh,#df9a59
70.956,Clear Orange,#cc4527
70.957,Flat Red,#a12b29
70.958,Pink,#b04f7c
70.959,Purple,#533152
70.960,Violet,#3c2c49
70.961,Sky Blue,#74b8cf
70.962,Flat Blue,#3f4873
70.963,Medium Blue,#16416c
70.964,Field Blue,#4d5256
70.965,Prussian Blue,#3b405d
70.966,Turquoise,#0c425a
70.967,Olive Green,#516238
70.968,Flat Green,#364a2e
70.969,Park Green Flat,#1f634a
70.970,Deep Green,#1b4b31
70.971,Light Green Grey,#b5b7ac
70.972,Light Green Blue,#86958e
70.974,Green Sky,#7a9165
70.975,Military Green,#434434
70.976,Buff,#d7af4d
70.977,Desert Yellow,#b68549
70.977,Desert Yellow,#b6854a
70.978,Dark Yellow,#908738
70.979,Camouflage Dark Green,#263123
70.980,Black Green,#29352b
70.981,Orange Brown,#ac633a
70.982,Cavalry Brown,#84443a
70.983,Flat Earth,#69442a
70.984,Flat Brown,#703f38
70.985,Hull Red,#5c383a
70.986,Deck Tan,#aaa390
70.987,Medium Grey,#867259
70.988,Khaki,#6f5f3b
70.989,Sky Grey,#aaabad
70.990,Light Grey,#919294
70.991,Dark Sea Grey,#6c6b69
70.992,Neutral Grey,#61615f
70.993,White Grey,#e3e2e0
70.994,Dark Grey,#312f32
70.995,German Grey,#2e2e2c
70.996,Gold,#996728
70.997,Silver,#939290
70.998,Bronze,#533c1d
70.999,Copper,#803427
70.807,Oxford Blue,#3b3f58
70.258,Face & Skin Tones,#9c6560
70.153,British Paint Set,#496446
70.154,German Infantry Paint Set,#445147
70.155,German Armour Paint Set,#ebe2d1
70.158,German SS Paint Set,#548744
70.159,Soviet Paint Set,#445147
70.160,US Infantry Paint Set,#645b4a
70.202,WWII Soviet Armour & Infantry,#496446
70.203,WWII American Armour & Infantry,#595c4e
70.204,WWII British Armour & Infantry,#6f6d4b
70.205,WWII German Armour,#496446
70.206,WWII German Infantry,#445147
70.207,WWII German Waffen SS,#548744
70.208,WWII Desert British & German Armour & Infantry,#7c7b66
70.209,WWII Italian Armour & Infantry,#616352
70.223,WWIII NATO Armour & Infantry,#496446
70.103,Wargames Basics,#ffffff
70.104,High Elves,#ffffff
70.105,Orcs and Goblins,#fded64
70.106,Non Death Chaos,#ebe2d1
70.108,Panzer Colors,#ddc576
70.118,Metallic Colors,#c7aa5a
70.119,Face Painting,#653536
70.124,Face & Skin Tones,#d9a87a
70.136,Transparent Colors,#453a34
70.137,Building Colors,#968980
70.138,Demag Afrika Corps,#40685c
70.139,Demag Guderian Russia 1942,#f6f6f8
70.151,Black & White,#ffffff
70.156,Infantry Basic Paint Set,#ffffff
70.157,Vehicle Basic Paint Set,#8f6c36
70.163,British Infantry Napoleonic Wars,#f4ede7
70.164,French Infantry Napoleonic Wars,#f4ede7
70.180,Waffen-SS Camouflage,#efad6e
70.181,German Field Grey,#efad6e
70.182,Wood & Leather,#977943
70.183,"Rust, Stain & Streaking",#b56d42
70.183,"Rust, Stain & Streaking",#b56d42
70.185,German Fallschirmjager Early WWII,#efad6e
70.186,WWII US Tank Crew,#efad6e
70.187,Hellboy,#efad6e
70.201,Utility Paint Set WWII & WWIII,#d9a87a
70.220,WWIII American Armour & Infantry,#496446
70.221,WWIII Soviet Armour & Infantry,#707faf
70.222,WWIII British Armour & Infantry,#ddc576
70.224,WWIII East German Armour & Infantry,#8cb7b0
70.231,Panoceania,#ffffff
70.233,Nomads,#ebe2d1
70.101,Folkstone Basics,#ffffff
70.102,Folkstone Specialst,#f6f6f8
70.107,German Colors WWII,#ffffff
70.109,Allied Forces WWII,#ffffff
70.110,Napoleonic Colors,#ffffff
70.111,American Civil War,#ffffff
70.112,Wargame Special,#ffffff
70.114,German Cam. WWII,#f4a288
70.125,Face & Skin Tones,#ffffff
70.140,Basic Colors USA,#ffffff
70.141,Earth Tones,#f4ede7
70.142,Medieval Colors,#ffffff
70.143,Roman Empire,#ffffff
70.144,Equestrian Colors,#ffffff
70.145,Native American,#ffffff
70.146,Naval (Steam Era),#f4ede7
70.147,American Colonial,#f4ede7
70.148,American Revolution,#ffffff
70.179,Panzer Aces Camouflage Colors,#d9a87a
70.179,Panzer Aces Camouflage Colors,#d9a87a
70.173,Military Colors,#d5c79e
70.150,Rust and Steel,#f0542b
